"League","Away Team","S","EX","EN","F","I","R","Score","Results","Home Team","S","EX","EN","F","I","R","Score","Results"
"NBA","Celtics","34.0","26.0","51.0","41.0","52.0","30.0","114.0","W","76ers","35.0","26.0","49.0","36.0","52.0","31.0","103.0","L"
"NBA","Cavaliers","35.0","24.0","42.0","35.0","50.0","30.0","99.0","L","Raptors","34.0","25.0","42.0","35.0","51.0","30.0","133.0","W"
"NBA","Clippers","33.0","26.0","43.0","37.0","51.0","30.0","121.0","W","Kings","41.0","29.0","50.0","37.0","53.0","41.0","115.0","L"
"NBA","Spurs","34.0","29.0","46.0","36.0","52.0","33.0","81.0","L","Lakers","40.0","36.0","47.0","33.0","53.0","43.0","93.0","W"
"NHL","Blue Jackets","36.0","32.0","50.0","34.0","53.0","39.0","1.0","L","Sabres","41.0","38.0","47.0","37.0","55.0","46.0","3.0","W"
"NHL","Hurricanes","36.0","28.0","45.0","33.0","54.0","35.0","3.0","W","Capitals","42.0","30.0","49.0","37.0","54.0","48.0","1.0","L"
"NHL","Flames","33.0","26.0","37.0","33.0","52.0","27.0","5.0","W","Lightning","30.0","30.0","42.0","34.0","52.0","24.0","1.0","L"
"MLB","Reds","37.0","29.0","67.0","48.0","53.0","45.0","7.0","L","Dodgers","34.0","22.0","61.0","48.0","52.0","44.0","9.0","W"
"MLB","Athletics","40.0","25.0","61.0","43.0","54.0","46.0","4.0","L","Rays","32.0","22.0","53.0","38.0","50.0","35.0","5.0","W"
"MLB","Orioles","33.0","27.0","48.0","40.0","50.0","32.0","3.0","L","Yankees","32.0","21.0","51.0","39.0","49.0","30.0","14.0","W"
"MLB","Orioles","34.0","26.0","39.0","40.0","46.0","26.0","3.0","L","Yankees","30.0","25.0","57.0","43.0","50.0","29.0","14.0","W"
"MLB","Rangers","33.0","23.0","44.0","36.0","49.0","28.0","5.0","W","Nationals","36.0","22.0","46.0","39.0","50.0","33.0","1.0","L"
"MLB","Twins","30.0","24.0","48.0","33.0","49.0","30.0","8.0","L","Giants","40.0","27.0","55.0","45.0","51.0","42.0","13.0","W"
"MLB","Brewers","34.0","27.0","53.0","42.0","50.0","34.0","1.0","L","Diamondbacks","29.0","25.0","48.0","36.0","49.0","31.0","11.0","W"
"MLB","Tigers","37.0","30.0","52.0","42.0","50.0","37.0","8.0","W","Red Sox","33.0","28.0","58.0","43.0","49.0","30.0","3.0","L"
"MLB","White Sox","36.0","25.0","50.0","40.0","52.0","34.0","3.0","L","Indians","36.0","28.0","47.0","37.0","52.0","35.0","7.0","W"
"MLB","Tigers","36.0","25.0","59.0","49.0","52.0","41.0","3.0","L","Red Sox","38.0","32.0","65.0","50.0","53.0","50.0","5.0","W"
"MLB","Athletics","36.0","29.0","47.0","37.0","52.0","30.0","4.0","L","Rays","41.0","22.0","51.0","39.0","53.0","41.0","13.0","W"
"MLB","Orioles","41.0","20.0","51.0","43.0","53.0","40.0","2.0","L","Yankees","40.0","17.0","56.0","40.0","53.0","38.0","8.0","W"
"MLB","Mets","37.0","27.0","54.0","37.0","53.0","34.0","2.0","L","Braves","37.0","21.0","55.0","41.0","54.0","35.0","3.0","W"
"MLB","Angels","40.0","24.0","54.0","47.0","54.0","42.0","9.0","W","Astros","38.0","22.0","51.0","46.0","54.0","38.0","4.0","L"
"MLB","Phillies","34.0","24.0","51.0","39.0","54.0","33.0","2.0","L","Cardinals","35.0","22.0","52.0","44.0","53.0","34.0","3.0","W"
"MLB","Marlins","33.0","26.0","50.0","42.0","50.0","32.0","1.0","L","Pirates","33.0","18.0","56.0","39.0","50.0","31.0","3.0","W"
"MLB","Marlins","32.0","29.0","50.0","37.0","50.0","29.0","1.0","L","Pirates","35.0","27.0","53.0","46.0","51.0","34.0","3.0","W"
"MLB","Phillies","36.0","32.0","61.0","43.0","50.0","35.0","5.0","L","Cardinals","39.0","22.0","58.0","46.0","50.0","42.0","6.0","W"
"MLB","Rockies","33.0","22.0","51.0","35.0","50.0","32.0","5.0","L","Cubs","34.0","28.0","53.0","42.0","50.0","35.0","7.0","W"
"MLB","Rockies","32.0","26.0","52.0","38.0","50.0","32.0","7.0","W","Phillies","34.0","25.0","51.0","37.0","51.0","30.0","2.0","L"
"MLB","Royals","31.0","34.0","45.0","33.0","51.0","28.0","0.0","L","Yankees","31.0","28.0","56.0","36.0","51.0","33.0","3.0","W"
"MLB","Mariners","35.0","26.0","50.0","35.0","51.0","35.0","1.0","L","Nationals","35.0","24.0","51.0","34.0","51.0","38.0","5.0","W"
"MLB","Angels","39.0","25.0","46.0","39.0","52.0","39.0","2.0","L","Rays","36.0","30.0","61.0","44.0","52.0","42.0","5.0","W"
"MLB","Pirates","33.0","28.0","60.0","47.0","51.0","31.0","2.0","L","Braves","35.0","26.0","57.0","40.0","52.0","35.0","5.0","W"
"MLB","Giants","32.0","25.0","50.0","38.0","51.0","29.0","6.0","W","Cubs","32.0","22.0","52.0","35.0","51.0","31.0","4.0","L"
"MLB","Tigers","34.0","23.0","47.0","37.0","51.0","33.0","0.0","L","Astros","34.0","26.0","58.0","42.0","52.0","38.0","1.0","W"
"MLB","White Sox","35.0","23.0","50.0","36.0","50.0","28.0","1.0","L","Diamondbacks","37.0","22.0","49.0","35.0","51.0","32.0","5.0","W"
"MLB","Reds","36.0","29.0","53.0","40.0","51.0","31.0","4.0","W","Indians","32.0","37.0","45.0","30.0","50.0","30.0","3.0","L"
"MLB","Brewers","27.0","24.0","47.0","35.0","50.0","27.0","3.0","L","Cubs","28.0","27.0","35.0","31.0","51.0","30.0","4.0","W"
"MLB","Reds","27.0","26.0","31.0","26.0","51.0","28.0","2.0","L","Rockies","30.0","28.0","35.0","32.0","51.0","32.0","8.0","W"
"MLB","Athletics","29.0","34.0","39.0","31.0","54.0","30.0","4.0","W","Angels","32.0","26.0","38.0","35.0","51.0","37.0","2.0","L"
"MLB","Nationals","31.0","26.0","37.0","30.0","51.0","34.0","6.0","W","Marlins","32.0","27.0","37.0","30.0","52.0","34.0","3.0","L"
"MLB","Rangers","35.0","31.0","47.0","33.0","51.0","32.0","7.0","L","Padres","34.0","28.0","46.0","35.0","52.0","35.0","9.0","W"
"NHL","Canadiens","32.0","23.0","51.0","33.0","52.0","31.0","3.0","W","Sabres","42.0","26.0","52.0","37.0","53.0","44.0","0.0","L"
"NHL","Devils","38.0","23.0","35.0","37.0","54.0","43.0","4.0","W","Penguins","39.0","21.0","39.0","46.0","55.0","42.0","3.0","L"
"NHL","Ducks","52.0","23.0","42.0","39.0","54.0","53.0","2.0","L","Jets","42.0","27.0","41.0","44.0","55.0","49.0","3.0","W"
"NHL","Bruins","34.0","27.0","31.0","35.0","54.0","38.0","3.0","W","Stars","31.0","27.0","35.0","36.0","53.0","34.0","2.0","L"
"MLB","Yankees","32.0","27.0","46.0","31.0","49.0","25.0","1.0","L","Royals","33.0","21.0","48.0","32.0","51.0","31.0","5.0","W"
"NHL","Ducks","35.0","38.0","52.0","33.0","53.0","34.0","3.0","W","Predators","40.0","34.0","50.0","38.0","54.0","40.0","2.0","L"
"MLB","Red Sox","37.0","53.0","46.0","31.0","53.0","34.0","3.0","L","Athletics","37.0","38.0","52.0","35.0","53.0","41.0","8.0","W"
"MLB","White Sox","40.0","41.0","50.0","31.0","53.0","42.0","4.0","L","Mariners","36.0","61.0","51.0","40.0","52.0","38.0","5.0","W"
"MLB","Brewers","32.0","25.0","46.0","39.0","51.0","27.0","6.0","W","Cubs","35.0","21.0","41.0","35.0","52.0","30.0","3.0","L"
"MLB","Phillies","36.0","25.0","56.0","46.0","53.0","32.0","7.0","W","Pirates","38.0","29.0","59.0","49.0","53.0","35.0","2.0","L"
"MLB","Blue Jays","40.0","34.0","53.0","43.0","53.0","43.0","3.0","L","Orioles","39.0","30.0","52.0","41.0","54.0","38.0","5.0","W"
"MLB","Rockies","40.0","28.0","55.0","37.0","54.0","39.0","12.0","W","Reds","40.0","29.0","63.0","50.0","53.0","41.0","6.0","L"
"MLB","Angels","32.0","26.0","52.0","36.0","50.0","29.0","0.0","L","Mets","37.0","29.0","56.0","43.0","51.0","35.0","3.0","W"
"MLB","Yankees","35.0","38.0","53.0","43.0","51.0","33.0","4.0","L","Rays","50.0","24.0","60.0","48.0","60.0","58.0","5.0","W"
"MLB","Marlins","30.0","16.0","60.0","46.0","49.0","24.0","2.0","L","Phillies","33.0","21.0","57.0","46.0","51.0","28.0","3.0","W"
"MLB","Braves","32.0","25.0","51.0","37.0","52.0","29.0","7.0","W","Mets","34.0","24.0","59.0","42.0","53.0","33.0","5.0","L"
"MLB","Mariners","35.0","29.0","59.0","46.0","53.0","36.0","2.0","W","Tigers","34.0","35.0","61.0","45.0","52.0","35.0","1.0","L"
"MLB","Yankees","27.0","18.0","43.0","29.0","50.0","21.0","3.0","W","Red Sox","31.0","20.0","46.0","35.0","51.0","27.0","0.0","L"
"MLB","Blue Jays","32.0","35.0","52.0","38.0","52.0","30.0","4.0","L","Cardinals","33.0","24.0","52.0","37.0","52.0","33.0","6.0","W"
"NHL","Rangers","32.0","27.0","56.0","37.0","53.0","32.0","1.0","L","Senators","32.0","27.0","49.0","37.0","52.0","29.0","2.0","W"
"NHL","Penguins","31.0","18.0","61.0","47.0","47.0","24.0","3.0","W","Capitals","33.0","24.0","55.0","41.0","50.0","30.0","2.0","L"
"MLB","Padres","32.0","29.0","58.0","42.0","51.0","31.0","2.0","L","Diamondbacks","35.0","32.0","63.0","49.0","52.0","33.0","6.0","W"
"MLB","Athletics","36.0","33.0","57.0","42.0","53.0","34.0","1.0","L","Angels","34.0","34.0","56.0","39.0","53.0","34.0","2.0","W"
"NHL","Predators","35.0","23.0","59.0","43.0","50.0","30.0","2.0","L","Blues","36.0","27.0","57.0","40.0","52.0","32.0","3.0","W"
"MLB","Dodgers","36.0","30.0","50.0","45.0","52.0","34.0","6.0","W","Giants","37.0","35.0","58.0","48.0","52.0","39.0","1.0","L"
"MLB","Nationals","30.0","34.0","41.0","31.0","50.0","28.0","1.0","L","Pirates","34.0","32.0","50.0","41.0","51.0","34.0","6.0","W"
"MLB","Orioles","37.0","33.0","51.0","43.0","52.0","41.0","4.0","L","Tigers","36.0","21.0","55.0","47.0","51.0","38.0","5.0","W"
"MLB","Blue Jays","35.0","26.0","54.0","40.0","52.0","32.0","4.0","L","Braves","37.0","57.0","56.0","41.0","53.0","38.0","8.0","W"
"MLB","Reds","34.0","43.0","62.0","39.0","51.0","30.0","5.0","L","Cubs","33.0","24.0","59.0","33.0","52.0","37.0","7.0","W"
"MLB","Phillies","37.0","29.0","63.0","48.0","52.0","41.0","3.0","L","Rangers","38.0","29.0","53.0","50.0","51.0","43.0","9.0","W"
"MLB","Phillies","32.0","27.0","45.0","38.0","51.0","25.0","4.0","L","Rangers","32.0","23.0","51.0","41.0","52.0","29.0","8.0","W"
"MLB","Brewers","34.0","31.0","52.0","39.0","52.0","31.0","4.0","W","Padres","35.0","26.0","52.0","35.0","52.0","38.0","2.0","L"
"MLB","Rockies","40.0","50.0","60.0","44.0","51.0","46.0","5.0","W","Twins","39.0","67.0","62.0","49.0","52.0","36.0","1.0","L"
"MLB","Blue Jays","36.0","54.0","54.0","36.0","51.0","40.0","9.0","W","Braves","34.0","35.0","59.0","43.0","49.0","34.0","0.0","L"
"NHL","Avalanche","33.0","24.0","45.0","38.0","52.0","29.0","2.0","L","Wild","37.0","27.0","43.0","38.0","53.0","34.0","3.0","W"
"NHL","Lightning","37.0","27.0","49.0","40.0","54.0","34.0","1.0","L","Capitals","33.0","30.0","49.0","39.0","53.0","35.0","3.0","W"
"NHL","Sharks","46.0","37.0","47.0","43.0","54.0","41.0","4.0","L","Golden Knights","38.0","33.0","54.0","45.0","53.0","32.0","5.0","W"
"NHL","Canucks","32.0","27.0","45.0","37.0","53.0","24.0","2.0","L","Devils","34.0","26.0","46.0","33.0","53.0","29.0","3.0","W"
"NHL","Red Wings","34.0","28.0","41.0","33.0","53.0","29.0","1.0","L","Rangers","38.0","32.0","44.0","34.0","53.0","37.0","2.0","W"
"NHL","Oilers","37.0","25.0","46.0","39.0","51.0","31.0","1.0","L","Sabres","38.0","23.0","47.0","41.0","52.0","35.0","3.0","W"
"NHL","Senators","30.0","27.0","34.0","30.0","51.0","27.0","2.0","L","Blue Jackets","38.0","22.0","49.0","41.0","53.0","37.0","5.0","W"
"NHL","Predators","36.0","27.0","42.0","39.0","53.0","36.0","2.0","W","Blues","35.0","25.0","45.0","38.0","53.0","37.0","0.0","L"
"NHL","Flames","32.0","22.0","40.0","30.0","51.0","33.0","4.0","L","Stars","36.0","24.0","45.0","35.0","52.0","35.0","6.0","W"
"NHL","Kings","37.0","28.0","49.0","36.0","53.0","37.0","2.0","L","Coyotes","35.0","27.0","49.0","36.0","52.0","35.0","3.0","W"
"NHL","Avalanche","31.0","26.0","50.0","41.0","50.0","26.0","0.0","L","Golden Knights","36.0","29.0","54.0","39.0","52.0","33.0","7.0","W"
"NHL","Senators","29.0","21.0","48.0","35.0","51.0","26.0","4.0","L","Devils","34.0","23.0","48.0","37.0","52.0","33.0","5.0","W"
"NHL","Jets","34.0","25.0","50.0","39.0","52.0","31.0","1.0","L","Blue Jackets","42.0","24.0","54.0","37.0","53.0","40.0","2.0","W"
"NHL","Blues","37.0","24.0","54.0","39.0","53.0","35.0","2.0","W","Hurricanes","34.0","24.0","50.0","34.0","52.0","33.0","1.0","L"
"NHL","Predators","35.0","25.0","46.0","35.0","53.0","32.0","2.0","W","Blackhawks","41.0","28.0","53.0","45.0","54.0","41.0","1.0","L"
"NHL","Stars","33.0","32.0","48.0","38.0","50.0","29.0","2.0","W","Flames","37.0","20.0","48.0","39.0","52.0","33.0","1.0","L"
"NBA","Rockets","36.0","29.0","45.0","36.0","53.0","32.0","109.0","W","Hornets","34.0","23.0","56.0","37.0","53.0","32.0","93.0","L"
"NBA","Spurs","36.0","25.0","47.0","41.0","53.0","32.0","87.0","L","Magic","33.0","22.0","48.0","34.0","53.0","33.0","114.0","W"
"NBA","Nets","33.0","28.0","50.0","35.0","53.0","30.0","86.0","L","Knicks","35.0","21.0","48.0","34.0","53.0","34.0","107.0","W"
"NBA","Thunder","34.0","29.0","46.0","37.0","53.0","28.0","116.0","L","Timberwolves","39.0","24.0","60.0","42.0","54.0","34.0","119.0","W"
"NHL","Coyotes","34.0","26.0","49.0","30.0","52.0","31.0","2.0","L","Capitals","41.0","21.0","59.0","45.0","53.0","41.0","3.0","W"
"NHL","Wild","38.0","22.0","56.0","43.0","53.0","40.0","3.0","L","Bruins","41.0","26.0","54.0","40.0","55.0","45.0","5.0","W"
"NHL","Golden Knights","36.0","28.0","55.0","41.0","53.0","37.0","3.0","L","Maple Leafs","43.0","32.0","58.0","48.0","55.0","46.0","4.0","W"
"NHL","Blue Jackets","42.0","31.0","53.0","41.0","55.0","44.0","3.0","L","Rangers","40.0","29.0","61.0","43.0","55.0","42.0","5.0","W"
"NHL","Jets","36.0","27.0","57.0","37.0","54.0","40.0","4.0","W","Stars","42.0","26.0","58.0","45.0","55.0","48.0","1.0","L"
"NHL","Red Wings","32.0","28.0","51.0","37.0","51.0","30.0","3.0","W","Canucks","32.0","22.0","49.0","33.0","51.0","30.0","2.0","L"
"NBA","Celtics","32.0","24.0","53.0","31.0","51.0","29.0","110.0","W","Hawks","33.0","25.0","50.0","31.0","52.0","32.0","107.0","L"
"NBA","Nets","42.0","31.0","55.0","35.0","55.0","38.0","98.0","W","Suns","33.0","21.0","46.0","32.0","51.0","27.0","92.0","L"
"NBA","Heat","30.0","29.0","54.0","33.0","51.0","24.0","80.0","L","Warriors","36.0","27.0","48.0","34.0","52.0","37.0","97.0","W"
"MLB","White Sox","40.0","45.0","58.0","46.0","51.0","38.0","3.0","L","Tigers","38.0","22.0","66.0","45.0","51.0","45.0","7.0","W"
"MLB","Padres","33.0","22.0","47.0","40.0","48.0","27.0","5.0","W","Giants","33.0","29.0","55.0","43.0","51.0","31.0","2.0","L"
"MLB","Rockies","35.0","26.0","53.0","43.0","50.0","30.0","0.0","L","Diamondbacks","36.0","36.0","60.0","46.0","50.0","36.0","2.0","W"
"NHL","Ducks","34.0","31.0","49.0","38.0","51.0","29.0","6.0","W","Oilers","35.0","22.0","54.0","41.0","51.0","35.0","3.0","W"
"MLB","Cubs","33.0","31.0","54.0","42.0","50.0","33.0","2.0","L","Red Sox","49.0","41.0","61.0","49.0","52.0","47.0","6.0","W"
"MLB","Pirates","33.0","33.0","46.0","35.0","53.0","28.0","4.0","W","Marlins","35.0","25.0","52.0","35.0","50.0","31.0","0.0","L"
"MLB","Rockies","31.0","22.0","43.0","37.0","49.0","25.0","7.0","W","Diamondbacks","33.0","30.0","49.0","44.0","51.0","30.0","6.0","L"
"MLB","Padres","33.0","29.0","53.0","41.0","52.0","34.0","12.0","W","Giants","33.0","39.0","48.0","41.0","52.0","29.0","4.0","L"
"MLB","Orioles","34.0","32.0","55.0","44.0","51.0","30.0","7.0","W","Yankees","35.0","25.0","53.0","37.0","51.0","34.0","4.0","L"
"MLB","Rays","35.0","23.0","51.0","43.0","51.0","32.0","1.0","L","Blue Jays","39.0","27.0","67.0","52.0","52.0","41.0","3.0","W"
"MLB","Rangers","33.0","36.0","48.0","37.0","50.0","35.0","5.0","W","Tigers","34.0","38.0","46.0","27.0","50.0","38.0","3.0","L"
"MLB","Nationals","34.0","51.0","40.0","30.0","50.0","35.0","4.0","L","Braves","36.0","34.0","42.0","36.0","50.0","41.0","7.0","W"
"MLB","Royals","35.0","28.0","50.0","39.0","51.0","30.0","6.0","W","Twins","39.0","45.0","53.0","46.0","52.0","33.0","4.0","L"
"MLB","Brewers","35.0","29.0","43.0","34.0","51.0","27.0","6.0","L","Cubs","37.0","18.0","54.0","36.0","50.0","34.0","13.0","W"
"MLB","Red Sox","44.0","47.0","56.0","46.0","53.0","40.0","3.0","L","Athletics","38.0","34.0","63.0","41.0","52.0","38.0","8.0","W"
"MLB","Nationals","38.0","24.0","51.0","37.0","52.0","33.0","2.0","L","Braves","37.0","21.0","56.0","38.0","52.0","38.0","5.0","W"
"MLB","Yankees","33.0","28.0","46.0","34.0","49.0","28.0","3.0","W","Rays","31.0","24.0","56.0","37.0","51.0","32.0","2.0","L"
"MLB","Rockies","36.0","36.0","56.0","41.0","52.0","38.0","6.0","W","Reds","36.0","23.0","72.0","42.0","51.0","37.0","4.0","L"
"MLB","Angels","39.0","39.0","54.0","41.0","52.0","42.0","12.0","W","Mets","38.0","33.0","53.0","42.0","51.0","43.0","5.0","L"
"MLB","Blue Jays","32.0","41.0","48.0","45.0","51.0","33.0","3.0","W","Orioles","39.0","54.0","45.0","38.0","51.0","42.0","1.0","L"
"MLB","White Sox","30.0","20.0","41.0","40.0","50.0","30.0","5.0","L","Rays","32.0","25.0","58.0","48.0","51.0","33.0","7.0","W"
"MLB","Phillies","31.0","23.0","52.0","40.0","52.0","34.0","1.0","L","Braves","34.0","33.0","54.0","34.0","52.0","37.0","3.0","W"
"MLB","Rockies","36.0","24.0","49.0","36.0","51.0","29.0","5.0","W","Cubs","34.0","26.0","49.0","36.0","52.0","30.0","3.0","L"
"MLB","Rangers","33.0","24.0","51.0","38.0","52.0","29.0","5.0","W","Nationals","32.0","23.0","51.0","36.0","52.0","27.0","2.0","L"
"MLB","Marlins","31.0","27.0","53.0","39.0","52.0","29.0","12.0","W","Pirates","36.0","23.0","52.0","39.0","53.0","41.0","7.0","L"
"MLB","Red Sox","40.0","29.0","45.0","41.0","52.0","33.0","2.0","L","Orioles","38.0","30.0","47.0","36.0","51.0","34.0","3.0","W"
"MLB","Yankees","43.0","24.0","60.0","49.0","52.0","48.0","5.0","L","Blue Jays","43.0","27.0","65.0","51.0","53.0","47.0","7.0","W"
"MLB","Padres","35.0","24.0","52.0","40.0","53.0","34.0","3.0","L","Diamondbacks","38.0","38.0","60.0","45.0","52.0","40.0","15.0","W"
"MLB","Red Sox","35.0","34.0","45.0","35.0","51.0","32.0","1.0","L","Yankees","34.0","20.0","48.0","35.0","51.0","35.0","9.0","W"
"MLB","Marlins","36.0","23.0","47.0","37.0","51.0","37.0","7.0","W","Pirates","36.0","30.0","50.0","46.0","52.0","38.0","1.0","L"
"NHL","Blues","31.0","25.0","47.0","36.0","52.0","27.0","2.0","W","Maple Leafs","31.0","29.0","44.0","35.0","51.0","28.0","1.0","L"
"NHL","Devils","33.0","33.0","39.0","32.0","52.0","32.0","4.0","W","Islanders","36.0","34.0","40.0","39.0","52.0","34.0","1.0","L"
"NHL","Flyers","33.0","31.0","47.0","42.0","52.0","31.0","1.0","L","Rangers","38.0","37.0","41.0","37.0","52.0","39.0","5.0","W"
"NHL","Stars","35.0","39.0","41.0","32.0","52.0","35.0","4.0","W","Red Wings","43.0","36.0","55.0","43.0","53.0","48.0","2.0","L"
"NHL","Golden Knights","38.0","36.0","40.0","36.0","53.0","38.0","0.0","L","Predators","36.0","39.0","32.0","32.0","53.0","39.0","1.0","W"
"NHL","Sharks","31.0","31.0","44.0","35.0","51.0","28.0","3.0","W","Coyotes","34.0","20.0","51.0","34.0","51.0","33.0","2.0","L"
"NBA","Timberwolves","38.0","27.0","42.0","34.0","53.0","36.0","102.0","L","Magic","36.0","19.0","40.0","35.0","51.0","34.0","108.0","W"
"NBA","Pelicans","34.0","19.0","38.0","41.0","51.0","32.0","116.0","W","Celtics","37.0","22.0","37.0","43.0","51.0","36.0","113.0","L"
"NBA","Mavericks","39.0","23.0","41.0","47.0","51.0","44.0","102.0","L","Nuggets","41.0","23.0","45.0","44.0","53.0","48.0","105.0","W"
"NBA","Suns","37.0","23.0","41.0","42.0","52.0","36.0","111.0","L","Trailblazers","44.0","25.0","45.0","40.0","53.0","47.0","118.0","W"
"NHL","Predators","34.0","27.0","49.0","36.0","50.0","30.0","2.0","W","Blues","34.0","22.0","48.0","33.0","51.0","32.0","1.0","L"
"NHL","Stars","32.0","28.0","46.0","29.0","50.0","30.0","2.0","L","Wild","35.0","25.0","39.0","33.0","51.0","35.0","4.0","W"
"NHL","Oilers","36.0","28.0","29.0","34.0","52.0","35.0","3.0","L","Jets","42.0","24.0","46.0","42.0","54.0","49.0","4.0","W"
"NHL","Capitals","44.0","26.0","45.0","36.0","53.0","48.0","0.0","L","Rangers","42.0","29.0","45.0","35.0","52.0","50.0","1.0","W"
"NHL","Coyotes","35.0","33.0","50.0","39.0","53.0","40.0","3.0","W","Avalanche","41.0","36.0","49.0","38.0","53.0","46.0","1.0","L"
"NHL","Senators","30.0","23.0","56.0","34.0","52.0","27.0","1.0","L","Bruins","34.0","27.0","51.0","38.0","53.0","33.0","5.0","W"
"NHL","Red Wings","30.0","24.0","54.0","30.0","53.0","28.0","1.0","L","Devils","33.0","24.0","54.0","32.0","54.0","31.0","3.0","W"
"NHL","Sabres","34.0","30.0","63.0","37.0","54.0","30.0","2.0","L","Islanders","32.0","27.0","51.0","37.0","54.0","31.0","3.0","W"
"NHL","Blue Jackets","33.0","28.0","43.0","37.0","54.0","34.0","4.0","L","Penguins","40.0","32.0","43.0","42.0","55.0","46.0","5.0","W"
"NHL","Canadiens","37.0","30.0","28.0","36.0","54.0","38.0","1.0","L","Hurricanes","35.0","25.0","32.0","40.0","54.0","37.0","3.0","W"
"NHL","Oilers","33.0","22.0","50.0","38.0","52.0","31.0","6.0","W","Canadiens","35.0","26.0","52.0","39.0","53.0","35.0","2.0","L"
"NHL","Islanders","37.0","23.0","51.0","38.0","53.0","37.0","1.0","L","Bruins","34.0","27.0","49.0","36.0","53.0","32.0","3.0","W"
"NHL","Jets","39.0","26.0","51.0","37.0","54.0","39.0","3.0","L","Lightning","38.0","28.0","56.0","41.0","54.0","38.0","4.0","W"
"NHL","Devils","39.0","31.0","51.0","39.0","54.0","39.0","2.0","L","Rangers","35.0","28.0","56.0","44.0","54.0","39.0","5.0","W"
"NHL","Coyotes","31.0","30.0","46.0","28.0","53.0","32.0","0.0","L","Blue Jackets","33.0","28.0","55.0","38.0","54.0","33.0","1.0","W"
"NHL","Avalanche","32.0","27.0","47.0","36.0","51.0","29.0","7.0","W","Panthers","34.0","30.0","47.0","35.0","52.0","32.0","3.0","L"
"NHL","Maple Leafs","34.0","26.0","53.0","38.0","52.0","32.0","4.0","W","Penguins","34.0","17.0","54.0","37.0","52.0","36.0","3.0","L"
"NHL","Golden Knights","32.0","19.0","54.0","36.0","52.0","33.0","5.0","W","Stars","33.0","19.0","53.0","38.0","52.0","32.0","3.0","L"
"NHL","Canucks","34.0","21.0","53.0","37.0","53.0","33.0","2.0","L","Flames","34.0","23.0","57.0","36.0","52.0","33.0","4.0","W"
"NHL","Senators","29.0","20.0","49.0","28.0","51.0","28.0","0.0","L","Sharks","28.0","24.0","49.0","34.0","52.0","27.0","5.0","W"
"NHL","Penguins","33.0","32.0","48.0","38.0","52.0","30.0","4.0","W","Blues","37.0","27.0","49.0","37.0","53.0","38.0","1.0","L"
"NHL","Rangers","28.0","22.0","50.0","34.0","52.0","25.0","3.0","W","Jets","31.0","25.0","48.0","33.0","53.0","31.0","1.0","L"
"NHL","Red Wings","35.0","27.0","55.0","40.0","53.0","37.0","5.0","W","Capitals","34.0","28.0","45.0","34.0","53.0","36.0","4.0","L"
"NHL","Canucks","30.0","27.0","46.0","32.0","52.0","25.0","6.0","W","Stars","32.0","31.0","36.0","31.0","53.0","27.0","0.0","L"
"NHL","Avalanche","34.0","27.0","45.0","34.0","53.0","36.0","5.0","W","Sabres","33.0","27.0","47.0","31.0","52.0","33.0","4.0","L"
"NHL","Bruins","31.0","25.0","49.0","33.0","51.0","27.0","5.0","W","Devils","33.0","29.0","48.0","40.0","53.0","31.0","3.0","L"
"NHL","Flames","33.0","26.0","49.0","34.0","53.0","34.0","3.0","W","Islanders","35.0","26.0","44.0","35.0","53.0","34.0","2.0","L"
"NHL","Flyers","36.0","24.0","46.0","38.0","57.0","37.0","4.0","W","Golden Knights","38.0","26.0","40.0","34.0","54.0","39.0","1.0","L"
"NHL","Sharks","38.0","22.0","37.0","41.0","54.0","42.0","3.0","W","Ducks","36.0","28.0","36.0","33.0","54.0","43.0","2.0","L"
"NHL","Islanders","31.0","23.0","43.0","36.0","51.0","27.0","0.0","L","Maple Leafs","35.0","26.0","48.0","35.0","52.0","32.0","5.0","W"
"NHL","Sharks","34.0","34.0","50.0","36.0","51.0","34.0","1.0","L","Red Wings","32.0","26.0","46.0","33.0","52.0","30.0","2.0","W"
"NHL","Flyers","33.0","22.0","50.0","35.0","52.0","34.0","3.0","L","Capitals","38.0","27.0","60.0","41.0","54.0","42.0","5.0","W"
"NBA","Grizzlies","40.0","24.0","54.0","39.0","54.0","38.0","101.0","L","Pacers","37.0","27.0","56.0","36.0","54.0","42.0","105.0","W"
"NBA","Lakers","40.0","31.0","58.0","42.0","55.0","46.0","105.0","L","Magic","41.0","30.0","56.0","40.0","55.0","41.0","127.0","W"
"NBA","Hornets","34.0","24.0","44.0","34.0","50.0","28.0","123.0","W","Hawks","37.0","26.0","47.0","38.0","51.0","36.0","110.0","L"
"NBA","76ers","34.0","22.0","51.0","37.0","51.0","32.0","108.0","L","Nets","41.0","26.0","48.0","39.0","52.0","41.0","116.0","W"
"NBA","Heat","30.0","24.0","52.0","33.0","50.0","30.0","89.0","L","Cavaliers","36.0","40.0","53.0","40.0","52.0","39.0","91.0","W"
"NBA","Knicks","30.0","24.0","50.0","36.0","51.0","28.0","73.0","L","Celtics","29.0","26.0","49.0","31.0","51.0","25.0","103.0","W"
"NBA","Bulls","30.0","24.0","49.0","32.0","51.0","34.0","108.0","L","Trailblazers","35.0","28.0","48.0","33.0","54.0","39.0","124.0","W"
"NHL","Red Wings","34.0","26.0","52.0","42.0","50.0","29.0","1.0","L","Bruins","33.0","23.0","49.0","37.0","52.0","33.0","3.0","W"
